# k1/kF k2/kF k3/kF P(k1) P(k2)       P(k3)       B0+BSN        BSN    N_tr    B2      B4
# 
16 12 8 1.04202759e+02 1.56465820e+02 2.20283844e+02 8.36753359e+04 2.34284102e+04 9.64823938e+05 2.69760840e+04 -4.92350391e+03
16 12 10 1.04202759e+02 1.56465820e+02 1.90377258e+02 7.83031016e+04 2.20951660e+04 1.20955200e+06 2.18860918e+04 1.66312500e+04
16 12 12 1.04202759e+02 1.56465820e+02 1.56465820e+02 6.98705625e+04 2.05833848e+04 1.43457600e+06 3.73756006e+03 1.14040234e+04
16 14 2 1.04202759e+02 1.31471008e+02 6.35353516e+02 1.73188469e+05 4.08180664e+04 1.24940008e+05 1.54758750e+05 1.06637211e+05
16 14 4 1.04202759e+02 1.31471008e+02 3.98782349e+02 1.39696828e+05 3.02716523e+04 5.42502000e+05 5.26419375e+04 2.43878867e+04
16 14 6 1.04202759e+02 1.31471008e+02 3.13019745e+02 1.14478531e+05 2.64483301e+04 8.26872000e+05 2.14993242e+04 -2.69609546e+03
16 14 8 1.04202759e+02 1.31471008e+02 2.20283844e+02 8.17802109e+04 2.23141348e+04 1.12502400e+06 1.41423184e+04 -1.24060908e+04
16 14 10 1.04202759e+02 1.31471008e+02 1.90377258e+02 7.57091953e+04 2.09808887e+04 1.41602400e+06 1.80357266e+04 2.54031836e+04
16 14 12 1.04202759e+02 1.31471008e+02 1.56465820e+02 6.66318281e+04 1.94691074e+04 1.67412012e+06 2.16089375e+04 4.83388184e+03
16 14 14 1.04202759e+02 1.31471008e+02 1.31471008e+02 5.36464141e+04 1.83548301e+04 1.95916800e+06 1.50859199e+04 -1.64625703e+04
16 16 2 1.04202759e+02 1.04202759e+02 6.35353516e+02 1.93672188e+05 3.96024414e+04 2.54736000e+05 4.14456094e+04 -7.16869531e+04
16 16 4 1.04202759e+02 1.04202759e+02 3.98782349e+02 1.02919500e+05 2.90560254e+04 6.31416000e+05 -3.75668262e+03 2.00069121e+04
16 16 6 1.04202759e+02 1.04202759e+02 3.13019745e+02 7.91711953e+04 2.52327031e+04 9.42239938e+05 -1.08316221e+04 1.27606094e+04
16 16 8 1.04202759e+02 1.04202759e+02 2.20283844e+02 7.41261484e+04 2.10985078e+04 1.28352000e+06 2.95548691e+04 3.44340527e+03
16 16 10 1.04202759e+02 1.04202759e+02 1.90377258e+02 6.43812617e+04 1.97652617e+04 1.61004000e+06 -1.71510986e+03 -1.69349746e+04
16 16 12 1.04202759e+02 1.04202759e+02 1.56465820e+02 5.92534727e+04 1.82534805e+04 1.90732800e+06 6.59222021e+03 7.45056250e+03
16 16 14 1.04202759e+02 1.04202759e+02 1.31471008e+02 4.57910547e+04 1.71392031e+04 2.23075200e+06 -1.54814490e+03 -4.72649512e+03
16 16 16 1.04202759e+02 1.04202759e+02 1.04202759e+02 4.29126094e+04 1.59235771e+04 2.53660800e+06 -1.34368591e+03 1.57226404e+03
18 10 8 8.87933197e+01 1.90377258e+02 2.20283844e+02 1.04035625e+05 2.42532363e+04 4.45469969e+05 5.72205078e+04 -2.63628613e+04
18 10 10 8.87933197e+01 1.90377258e+02 1.90377258e+02 1.09709398e+05 2.29199902e+04 1.13285400e+06 9.04894766e+04 5.00898867e+04
18 12 6 8.87933197e+01 1.56465820e+02 3.13019745e+02 1.33195562e+05 2.68756484e+04 3.86294000e+05 1.21297109e+05 1.08866617e+05
18 12 8 8.87933197e+01 1.56465820e+02 2.20283844e+02 9.12088594e+04 2.27414531e+04 1.06837800e+06 6.32227852e+04 2.68029160e+04
18 12 10 8.87933197e+01 1.56465820e+02 1.90377258e+02 8.12033750e+04 2.14082090e+04 1.37791200e+06 2.49029414e+04 1.96791582e+04
18 12 12 8.87933197e+01 1.56465820e+02 1.56465820e+02 7.03742422e+04 1.98964258e+04 1.63149612e+06 9.67021777e+03 8.99490820e+03
18 14 4 8.87933197e+01 1.31471008e+02 3.98782349e+02 1.28546945e+05 2.95846953e+04 3.03302000e+05 1.16511734e+05 6.76100859e+04
18 14 6 8.87933197e+01 1.31471008e+02 3.13019745e+02 1.20328977e+05 2.57613730e+04 9.18294062e+05 7.94371719e+04 6.07957861e+03
18 14 8 8.87933197e+01 1.31471008e+02 2.20283844e+02 7.84087422e+04 2.16271758e+04 1.28157600e+06 1.93643340e+04 1.71891250e+04
18 14 10 8.87933197e+01 1.31471008e+02 1.90377258e+02 8.17544766e+04 2.02939316e+04 1.60963200e+06 2.57070684e+04 5.14189502e+03
18 14 12 8.87933197e+01 1.31471008e+02 1.56465820e+02 5.38607227e+04 1.87821504e+04 1.90423200e+06 1.34200488e+04 1.57765000e+04
18 14 14 8.87933197e+01 1.31471008e+02 1.31471008e+02 5.80067773e+04 1.76678730e+04 2.22787200e+06 -6.63932617e+03 -7.87011816e+03
18 16 2 8.87933197e+01 1.04202759e+02 6.35353516e+02 1.92617188e+05 3.89154844e+04 1.60748000e+05 8.74305078e+04 1.45915732e+04
18 16 4 8.87933197e+01 1.04202759e+02 3.98782349e+02 1.22261086e+05 2.83690684e+04 7.01382000e+05 4.94937539e+04 -1.12017700e+03
18 16 6 8.87933197e+01 1.04202759e+02 3.13019745e+02 9.95297812e+04 2.45457461e+04 1.07102400e+06 2.33171270e+04 -1.79536680e+04
